0000,54989500‬
0001,54989500‬
0002,54989500‬
0003,54989500‬
0004,54989500‬
0005,54989500‬
0006,54989500‬
0100,54989500‬
0101,54989500‬
0102,54989500‬
0103,54989500‬
0104,54989500‬
0105,54989500‬
0106,54989500‬
0200,54989500‬
0201,54989500‬
0202,54989500‬
0203,54989500‬
0204,54989500‬
0205,54989500‬
0206,54989500‬
0300,54989500‬
0301,54989500‬
0302,54989500‬
0303,54989500‬
0304,54989500‬
0305,54989500‬
0306,54989500‬
0400,54989500‬
0401,54989500‬
0402,54989500‬
0403,54989500‬
0404,54989500‬
0405,54989500‬
0406,54989500‬
0500,54989500‬
0501,54989500‬
0502,54989500‬
0503,54989500‬
0504,54989500‬
0505,54989500‬
0506,54989500‬
0600,54989500‬
0601,54989500‬
0602,54989500‬
0603,54989500‬
0604,54989500‬
0605,54989500‬
0606,54989500‬
0700,54989500‬
0701,54989500‬
0702,54989500‬
0703,54989500‬
0704,54989500‬
0705,54989500‬
0706,54989500‬
0800,54989500‬
0801,54989500‬
0802,54989500‬
0803,54989500‬
0804,54989500‬
0805,54989500‬
0806,54989500‬
